epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
10,0,5,3,0.3,5,3,0.25,0.25,11.43338633,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.3,5,6,0.25,0.25,12.49641347,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.3,13,3,0.25,0.25,13.05134392,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,3,0.3,13,6,0.25,0.25,13.82071209,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.1,5,3,0.25,0.25,12.45769191,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.1,5,6,0.25,0.25,13.21738505,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.1,13,3,0.25,0.25,14.62876272,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.1,13,6,0.25,0.25,14.93562913,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.3,5,3,0.25,0.25,12.89714742,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.3,5,6,0.25,0.25,12.67668653,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.3,13,3,0.25,0.25,13.87604022,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,5,5,0.3,13,6,0.25,0.25,14.38753796,"[[47  8]
 [ 7 28]]",0.833333333,0.777777778,0.854545455,0.788732394
10,0,10,0,0.1,5,3,0.25,0.25,12.71524358,"[[48  7]
 [ 7 28]]",0.844444444,0.8,0.872727273,0.8
10,0,10,0,0.1,5,6,0.25,0.25,13.44770932,"[[48  7]
 [ 7 28]]",0.844444444,0.8,0.872727273,0.8
10,0,10,0,0.1,13,3,0.25,0.25,14.23819041,"[[48  7]
 [ 7 28]]",0.844444444,0.8,0.872727273,0.8
10,0,10,0,0.1,13,6,0.25,0.25,14.47612739,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,0,0.3,5,3,0.25,0.25,13.36943698,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,0,0.3,5,6,0.25,0.25,12.84420252,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,0,0.3,13,3,0.25,0.25,13.38846445,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,0,0.3,13,6,0.25,0.25,14.03881335,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.1,5,3,0.25,0.25,13.99681067,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.1,5,6,0.25,0.25,13.82617807,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.1,13,3,0.25,0.25,14.51961231,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
10,0,10,1,0.1,13,6,0.25,0.25,14.72922206,"[[49  6]
 [ 7 28]]",0.855555556,0.823529412,0.890909091,0.811594203
