,epoch,Lambda,Gamma,cover,learning_rate,quantiles,tree_height,feature_ratio,sample_ratio,time,confusion,acc,pre,spe,f1
96,10,0,10,0,0.1,5,3,0.25,0.25,12.715243577957152,"[[48  7]
 [ 7 28]]",0.8444444444444444,0.8,0.8727272727272727,0.8000000000000002
97,10,0,10,0,0.1,5,6,0.25,0.25,13.447709321975708,"[[48  7]
 [ 7 28]]",0.8444444444444444,0.8,0.8727272727272727,0.8000000000000002
98,10,0,10,0,0.1,13,3,0.25,0.25,14.238190412521362,"[[48  7]
 [ 7 28]]",0.8444444444444444,0.8,0.8727272727272727,0.8000000000000002
99,10,0,10,0,0.1,13,6,0.25,0.25,14.47612738609314,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
100,10,0,10,0,0.3,5,3,0.25,0.25,13.369436979293823,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
101,10,0,10,0,0.3,5,6,0.25,0.25,12.844202518463137,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
102,10,0,10,0,0.3,13,3,0.25,0.25,13.388464450836182,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
103,10,0,10,0,0.3,13,6,0.25,0.25,14.03881335258484,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
104,10,0,10,1,0.1,5,3,0.25,0.25,13.996810674667358,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
105,10,0,10,1,0.1,5,6,0.25,0.25,13.826178073883057,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
106,10,0,10,1,0.1,13,3,0.25,0.25,14.519612312316896,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
107,10,0,10,1,0.1,13,6,0.25,0.25,14.729222059249878,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
108,10,0,10,1,0.3,5,3,0.25,0.25,13.530343532562256,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
109,10,0,10,1,0.3,5,6,0.25,0.25,13.408259391784668,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
110,10,0,10,1,0.3,13,3,0.25,0.25,14.09873080253601,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
111,10,0,10,1,0.3,13,6,0.25,0.25,14.29223918914795,"[[49  6]
 [ 7 28]]",0.8555555555555555,0.8235294117647058,0.8909090909090909,0.8115942028985507
